url_hash,cost_for_two
3ca06f07bd10d9a62273fc1115bd4804f2cf27bd,₹700 for two
f9ffa2080e387055d4c8eb0e7fa71f98300cb0c1,"₹2,000 for two"
e463722e9e9be1e200f7df5bff8bdfe5236f0838,₹700 for two
b4ad4bd4d239a86dc46fc0f2266f2137447cf1ad,₹500 for two
bd64fdc16d66511eb0e189be339442ed7980328d,"₹5,500 for two"
a2e2f228a304ff5344ec08dc43521d5d8952c247,₹600 for two
1150925770f14f1a0127fc724b636baa3434fe34,"₹2,500 for two"
7a07c29dddae87f9cad0a2e2b763aba97378e5e1,"₹2,800 for two"
5c0a357d5ba3570b493d32d7f88f5ca447f384fd,₹200 for two
6058acc917184d3184997976dfdf30c9e5e4219d,₹300 for two
5cb35a0a5f1c4ad3062e313ddb209b4c20f3f61e,₹350 for two
9dd3f2e63b1471b93051a11c262f8720f6e4cd5b,₹600 for two
6a6d75d998dbc1b2e92facda2e760a9122e6968b,₹350 for two
0182699d379563348e24f8fa34e95cf09caa6db7,₹250 for two
81f9bf7c6babf1b42cea414c8cc781ab3874e529,₹500 for two
9e81109a1d2840f16d7aea799fc0095082f4224e,₹400 for two
0151f7ef94184a343fad0c7ba23e19a21e4904d5,₹800 for two
37a40527248a2aa10eaff67ff55499c5756c8898,"₹1,200 for two"
18bbf70c09323c2ecd6e2209e76ab7833cb05350,₹500 for two
2a8daa58a320e14f747b3fbbec5e9d33f6f7218a,"₹2,000 for two"
43056914f3d3203b390b703d41e2904000d4171b,₹400 for two
62b00eb8e13914792a2db5c42b7dd9588d06d40d,₹400 for two
81c745e50ed4a048618a44456c1c1c92b4c0f5ab,₹250 for two
7ea457651890986bb9f20f87678c5fd6b6546ac9,₹500 for two
aa2743fb74fb1843cfe8223a32a96caf33a7bf73,"₹1,800 for two"
c27f82b99a937725c8e8fcdece135c869ad001e6,₹350 for two
227e2f5f62d965da202404ced6a8bfb0167452cd,₹400 for two
3ebe0c9bab7a6a04c48dd9bb102a1222dfdd0c5f,₹950 for two
29516e09e09d54ea32ec4b70913ea67af9667b89,"₹1,100 for two"
2fe1dbe6d1d951bd3fbf2cbebbe7fc793715638b,₹500 for two
81e9e25aa9e94cdaef6681ea3f4f4b019e7255ea,₹450 for two
9f545deb2f74e6599b3eaf52164cc6278b4d977e,"₹2,600 for two"
536504930286ca6b478c1b3a6f83492995a4e48f,₹650 for two
60e03d94a2c6a0a07317153f5202eb9828fcbb0e,₹400 for two
7150adc2a6c12420d305a8f38dbbf083b4eaa566,"₹1,800 for two"
88449d8d5017a12b586a709e170316d6ec4c5491,₹550 for two
e0dc5fe80961b41c08186abb0f8b49fc0f07d337,₹200 for two
f87f7bd310b9623e7a5242f68249941186689541,₹500 for two
462c6e328eb0c794d404aa71ce44d4d403ed56dd,₹550 for two
95b0e414d80ed34edd617688ae9cc0222e3d7db0,₹300 for two
d9edbbbfedf7cda7685ce35890dc2675c4008794,"₹2,100 for two"
da72d9521e978cb1272d18c339a093cbf4539e71,₹500 for two
2e53bda25e6778922b511db0f0ca15269b8a6a15,"₹2,200 for two"
81dfd2e52ff7abce3ddb54349014b8fdfb2b6762,"₹2,500 for two"
982930658865d2a7614cd437044afc040423421f,₹400 for two
7324e56884334dce2971ff490c782b12b969a45c,₹400 for two
2782d3c54d3e24aa6883f4889ff570de9eb1d576,"₹1,300 for two"
18a2a4cd4aff06bf92281120fe73b40eb89cc88c,"₹2,400 for two"
12b74e510ca55746e360fb9e06797f0683976226,₹600 for two
fde4863cfd746867d8c16784b8261c4fd1967d05,₹100 for two
1c1a69774c425e5e2597e0c00273012f9fbc3d0a,₹500 for two
79efeefaca3b494040eb8bc96ddcaa2f06ab9cd5,₹500 for two
48a2053b08725091c684c67ad2f702787ecd0e67,₹400 for two
f9ad83c5bcbaa10b42557227eabf9d68d672a065,₹600 for two
b59e11ed46fa12b00e63e03782b492aab64cd7f7,₹550 for two
82f3a493896fdd21d882d2a8f5e77ca5b6e1c417,₹950 for two
5f7770c9c474e9187bdb618018e89549be70deaf,₹400 for two
2fcb24ce88b5d0f5851520577b32c67603502da5,"₹1,500 for two"
746bd764d46b65ca9ff7ff91ae71bf8e61f16e87,"₹1,700 for two"
8c0ff66aa2694a8c92b4abd57d030d48da6df64e,"₹1,900 for two"
e8b7419f4b40621e3355ede00a517b4616331216,₹400 for two
214e99830ea6d1cafe7c13fba5383f90569c057e,₹400 for two
